Date,Company,Close_Price,Cum_Return
2023-01-03,AAPL,123.09601593017578,0.0
2023-01-04,AAPL,124.36566925048828,1.0314333170885703
2023-01-05,AAPL,123.04679870605469,-0.03998279209053157
2023-01-06,AAPL,127.5741958618164,3.637956840277279
2023-01-09,AAPL,128.0958251953125,4.061714936389804
2023-01-10,AAPL,128.6666717529297,4.525455824592872
2023-01-11,AAPL,131.3831329345703,6.732238197778284
2023-01-12,AAPL,131.304443359375,6.668312834637402
2023-01-13,AAPL,132.63307189941406,7.747656085512977
2023-01-17,AAPL,133.79449462890625,8.691165687116143
2023-01-18,AAPL,133.0760040283203,8.107482620563044
2023-01-19,AAPL,133.135009765625,8.155417346036353
2023-01-20,AAPL,135.69403076171875,10.234299409567393
2023-01-23,AAPL,138.88282775878906,12.824795107559051
2023-01-24,AAPL,140.28045654296875,13.96019236117323
2023-01-25,AAPL,139.62100219726562,13.424468811779722
2023-01-26,AAPL,141.68789672851562,15.10356014193488
2023-01-27,AAPL,143.62677001953125,16.678650348034996
2023-01-30,AAPL,140.74301147460938,14.335959950518262
2023-01-31,AAPL,142.0126495361328,15.367380871763704
2023-02-01,AAPL,143.13465881347656,16.278872010502244
2023-02-02,AAPL,148.43963623046875,20.588497612033784
2023-02-03,AAPL,152.06155395507812,23.530849317928038
2023-02-06,AAPL,149.33523559570312,21.316059230065676
2023-02-07,AAPL,152.2091522216797,23.65075430874859
2023-02-08,AAPL,149.52223205566406,21.467970287907722
2023-02-09,AAPL,148.48880004882812,20.628437018673274
2023-02-10,AAPL,148.85354614257812,20.92474725340654
2023-02-13,AAPL,151.65296936035156,23.198925825815707
2023-02-14,AAPL,151.01226806640625,22.678436767657463
2023-02-15,AAPL,153.11184692382812,24.384079993846708
2023-02-16,AAPL,151.5149688720703,23.086817820338503
2023-02-17,AAPL,150.37158203125,22.157960105342344
2023-02-21,AAPL,146.35968017578125,18.898795440139505
2023-02-22,AAPL,146.78350830078125,19.24310237956184
2023-02-23,AAPL,147.2665252685547,19.63549279457528
2023-02-24,AAPL,144.61495971679688,17.481429942320293
2023-02-27,AAPL,145.80764770507812,18.450338626544305
2023-02-28,AAPL,145.30496215820312,18.041969969706418
