Date,AAPL,AMZN,GOOGL,MSFT
2023-01-03,123.09601593017578,85.81999969482422,88.38946533203125,233.4528045654297
2023-01-04,124.36566925048828,85.13999938964844,87.35799407958984,223.2407989501953
2023-01-05,123.04679870605469,83.12000274658203,85.49339294433594,216.6244659423828
2023-01-06,127.5741958618164,86.08000183105469,86.6240463256836,219.17745971679688
2023-01-09,128.0958251953125,87.36000061035156,87.29847717285156,221.31146240234375
2023-01-10,128.6666717529297,89.87000274658203,87.69519805908203,222.99720764160156
2023-01-11,131.3831329345703,95.08999633789062,90.76979064941406,229.74024963378906
2023-01-12,131.304443359375,95.2699966430664,90.38298034667969,232.41018676757812
2023-01-13,132.63307189941406,98.12000274658203,91.36486053466797,233.1117706298828
2023-01-17,133.79449462890625,96.05000305175781,90.54166412353516,234.20310974121094
2023-01-18,133.0760040283203,95.45999908447266,90.37307739257812,229.7792205810547
2023-01-19,133.135009765625,93.68000030517578,92.28726196289062,225.99844360351562
2023-01-20,135.69403076171875,97.25,97.21649932861328,234.07644653320312
2023-01-23,138.88282775878906,97.5199966430664,98.97199249267578,236.3760528564453
2023-01-24,140.28045654296875,96.31999969482422,96.89912414550781,235.84986877441406
2023-01-25,139.62100219726562,97.18000030517578,94.43946838378906,234.4564666748047
2023-01-26,141.68789672851562,99.22000122070312,96.7206039428711,241.657470703125
2023-01-27,143.62677001953125,102.23999786376953,98.55545043945312,241.81336975097656
2023-01-30,140.74301147460938,100.55000305175781,96.1453628540039,236.50274658203125
2023-01-31,142.0126495361328,103.12999725341797,98.02976989746094,241.4722900390625
2023-02-01,143.13465881347656,105.1500015258789,99.60675048828125,246.28599548339844
2023-02-02,148.43963623046875,112.91000366210938,106.85681915283203,257.83294677734375
2023-02-03,152.06155395507812,103.38999938964844,103.92110443115234,251.74281311035156
2023-02-06,149.33523559570312,102.18000030517578,102.0564956665039,250.20315551757812
2023-02-07,152.2091522216797,102.11000061035156,106.75765228271484,260.71722412109375
2023-02-08,149.52223205566406,100.05000305175781,98.55545043945312,259.9084777832031
2023-02-09,148.48880004882812,98.23999786376953,94.2311782836914,256.87799072265625
2023-02-10,148.85354614257812,97.61000061035156,93.79478454589844,256.371337890625
2023-02-13,151.65296936035156,99.54000091552734,93.83445739746094,264.381103515625
2023-02-14,151.01226806640625,99.69999694824219,93.90389251708984,265.2093200683594
2023-02-15,153.11184692382812,101.16000366210938,96.1453628540039,263.0894775390625
2023-02-16,151.5149688720703,98.1500015258789,94.7270736694336,256.08538818359375
2023-02-17,150.37158203125,97.19999694824219,93.57657623291016,252.09002685546875
2023-02-21,146.35968017578125,94.58000183105469,91.03756713867188,246.82472229003906
2023-02-22,146.78350830078125,95.79000091552734,90.89871215820312,245.6915283203125
2023-02-23,147.2665252685547,95.81999969482422,90.14495849609375,248.8760986328125
2023-02-24,144.61495971679688,93.5,88.39937591552734,243.45449829101562
2023-02-27,145.80764770507812,93.76000213623047,89.1333236694336,244.37278747558594
